Molecule Name,SMILES
CVD-0012807,OC(Cc1cccc(Cl)c1)Cn1cncn1
CVD-0012806,Cc1cc2OCC(C(=O)N3CCCCC3c3cn[nH]c3)c2cc1C
CVD-0012805,COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1
CVD-0012804,Clc1cccc(c1)C1CNC(=O)N(C1=O)c1cncc2ccccc12
CVD-0012803,Clc1cccc(c1)C1NC(=O)N(C1=O)c1cncc2ccccc12
CVD-0012802,Clc1ccc2OCC(=O)C(C(=O)Nc3cncc4ccccc34)c2c1
CVD-0012801,Clc1ccc2OCCC(C(=O)Nc3cncc4ccccc34)c2c1
CVD-0012800,CC1(C(=O)Nc2cncc3ccccc23)C(=O)COc2ccc(Cl)cc12
CVD-0012799,Clc1cccc(c1)N1CCC(=O)N(C1=O)c1cncc2ccccc12
CVD-0012798,Clc1cccc(c1)C1N(CC2CCCCC2)C(=O)N(C1=O)c1cncc2ccccc12
CVD-0012797,Clc1cccc(c1)C1NC(=O)N(C1=O)c1cccc2[nH]ncc12
CVD-0012796,Clc1cccc(c1)C1CCC(=O)N(C1=O)c1cncc2ccccc12
CVD-0012795,Clc1cccc(c1)N1CC(=O)N(C1=O)c1cccc2[nH]ncc12
CVD-0012794,Clc1cccc(c1)C1CC(=O)N(C1=O)c1cccc2[nH]ncc12
CVD-0012793,Clc1cccc(c1)C1CC(=O)N(C2C(=O)Nc3ccccc23)C1=O
CVD-0012792,Clc1cccc(c1)C1CC(=O)N(C1=O)c1cncc2ccccc12
CVD-0012791,Clc1cccc(c1)C1CC(=O)C(C1=O)n1c2ccccc2[nH]c1=O
CVD-0012790,Cc1ccncc1N1C(=O)CC(C1=O)c1cccc(Cl)c1
CVD-0012789,Clc1cccc(c1)N1CC(=O)N(C1=O)c1cncc2ccccc12
CVD-0012788,Clc1cccc(CC(=O)Cn2c3ccccc3[nH]c2=O)c1
CVD-0012787,Clc1cccc(CC(=O)NC2C(=O)Nc3ccccc23)c1
CVD-0012786,O=C1CCCN1c1cccc(c1)-c1noc(n1)-c1ccnc2[nH]ccc12
CVD-0012785,O=C(N1CC(C1)Nc1ncnc2[nH]ccc12)c1c[nH]c(n1)-c1ccccc1
CVD-0012784,Cc1nc2ccc(NC(=O)c3cc[nH]c(=O)c3)cn2n1
CVD-0012783,Cc1c-2ccnc-2[nH]cc1NC(=O)c1ccc(Cc2ccccc2)cn1
CVD-0012782,Cc1nn(C)c(C)c1C1CCCN1C(=O)c1c[nH]c2ncccc12
CVD-0012781,Clc1ccc(cc1)N1CCC(C1)NC(=O)C1Cc2cncn2C(=O)N1
CVD-0012780,CC(C(=O)Nc1ncnc2[nH]cnc12)n1cnc2n(C)c(=O)n(C)c(=O)c12
CVD-0012779,Clc1ccc2ncccc2c1NC(=O)c1c[nH]c2ncncc12
CVD-0012778,Cc1ccc(cc1C)C1=NOC(CNC(=O)CC2NC(=O)c3ccccc23)C1
CVD-0012777,CC(CNC(=O)CC1NC(=O)c2ccccc12)NC(=O)c1ccc(C)o1
CVD-0012776,CC(OC(=O)c1nc(C2CC2)n2ccccc12)C(=O)Nc1ncnc2[nH]cnc12
